id,place,uuid,rating,token,ip,user_agent,date_submitted
6525,12,55ec29530c7f8144e2532a22643fe4a6,6,0,,,2009-04-03 23:13:55
6612,12,3383214a29fe3cbbc193b68ed9adc959,6,0,,,2009-04-03 23:18:17
6617,12,a4887d550fb0f22ec1eb39f4dabe39ae,5,0,,,2009-04-03 23:18:29
13427,38,acefa150b2f14b9e2bf142060cf08aee,2,0,,,2009-04-05 08:45:18
13582,38,c4dbbfe2ec212baddb0c2d10e8bb0bb8,1,0,,,2009-04-05 11:19:05
13723,38,5c9533efdaabf6f3634eede5ef867c7d,1,0,,,2009-04-05 13:58:07
24349,38,8261c65a2ece3e99352dad9047685127,1,0,,,2009-04-10 16:37:22
24353,38,f24b0baf6df35f6c1ef2bf1904f04c16,1,0,,,2009-04-10 16:37:24
24697,12,8261c65a2ece3e99352dad9047685127,4,0,,,2009-04-10 16:40:28
57825,11,fd0fd60993feaa3463c43581ee60eeba,2,0,,,2009-04-11 11:32:07
57838,11,cce163a3d43c46b69d65d2bcbb711cf7,3,0,,,2009-04-11 11:32:28
57864,11,6e0d36b8ba23de19cb1b6d71ce03ad3b,7,0,,,2009-04-11 11:33:20
71904,11,82ee4d1be855b9d243b681316ccbc1b4,8,0,,,2009-04-12 09:27:26
110677,9,f5a6688cb3828961979891e5120678eb,8,0,,,2009-04-16 12:49:34
111617,9,9690e725b9253005ea6399494d90dbb0,3,0,,,2009-04-16 17:21:05
112182,9,1a348ca657154aa37d17b8bea93a0e2b,8,0,,,2009-04-16 18:54:58
112534,9,0337bf81898a3c137487196a483899e3,5,0,,,2009-04-16 19:39:01
113199,32,976d1099ecd1df28c3ebf3db3627172a,2,0,,,2009-04-16 20:19:09
113237,32,0337bf81898a3c137487196a483899e3,4,0,,,2009-04-16 20:20:57
114627,33,0337bf81898a3c137487196a483899e3,1,0,,,2009-04-16 21:50:08
114991,32,82fccc35965c72e7b409d113b1f21c1f,2,0,,,2009-04-16 22:07:32
115399,33,82fccc35965c72e7b409d113b1f21c1f,3,0,,,2009-04-16 22:43:38
115679,32,6c07b6dcf56ae57663d956b8328911f9,1,0,,,2009-04-17 01:46:29
115680,32,72626f7013dcb3282bc409e0ad6cb60c,2,0,,,2009-04-17 01:46:31
116121,33,34ee2e3e6d6bc4850cf89c5dce0dfce3,2,0,,,2009-04-17 07:43:48
116291,33,25371209419ec1fe29d9e77a91b32053,3,0,,,2009-04-17 09:42:02
248933,21,80befbfc4b1a3cb7eabec2979c3d3f2b,2,2084145969,,,2009-04-26 12:11:55
249077,21,5515ebaf425594d23487ffb272a13b84,2,866756233,,,2009-04-26 12:20:16
249686,21,b2986c8d12d51b6148df0786af9149b5,2,896491381,,,2009-04-26 12:59:20
249981,21,3cacbe798a14b55a66a00b08102f08a3,6,1820456954,,,2009-04-26 13:34:56
296435,41,d1bc1fc0bba8681cbb8ac9825b1cfca5,2,198957191,,,2009-04-27 11:20:51
296479,41,dd12beb27014483b38f540f6637b8cde,3,2108319647,,,2009-04-27 11:20:54
296503,41,deb4b4fefd52419093a12a6d001dce74,2,245191255,,,2009-04-27 11:20:55
296556,41,012b08c86c0e364bdab2b7c94ac4771f,2,1934944242,,,2009-04-27 11:21:18
296561,41,d2a32519ec8ba905c8b8bd39b66fb641,3,87937940,,,2009-04-27 11:21:18
296589,41,077c0db6d87ca6b1d9e59fe17a31783f,3,1278244883,,,2009-04-27 11:21:20
296872,41,04e1f3957ccc49703816c85933580b87,3,94718007,,,2009-04-27 11:21:51
344064,19,a6cf8788559185b4215a460eda14884f,2,1849066254,,,2009-04-27 12:41:46
344194,19,6e58c857c607f4c8f5a9d4acbb81da46,4,472506566,,,2009-04-27 12:41:54
344649,19,20827906ec454b15ff5c6a79e63a6e27,5,602497014,,,2009-04-27 12:42:23
344660,19,1012ce5bfedccd401201d95f5c3ce1ab,1,237123883,,,2009-04-27 12:42:23
344715,19,19d108baad2f17285fad6ad4b7e5d289,1,1396480517,,,2009-04-27 12:42:27
344828,19,5eba7280fa7814e1c23c09e106a849f5,1,250444328,,,2009-04-27 12:42:34
354395,46,7caba82a8dfda6f899cd741078bce8ab,5,1221124108,,,2009-04-27 13:00:59
354440,46,d59a44dd11ffe1f6eb0631b0ea06f3c9,3,1499316085,,,2009-04-27 13:01:08
354568,46,38be96a519d93b90296643eec8b697f3,5,81051922,,,2009-04-27 13:01:30
354643,46,a9ef7086a129bd922a83e62df1365a6e,4,147273940,,,2009-04-27 13:01:42
354702,46,acf36094abb0576ab8ed4aabd89fbaa7,6,188506033,,,2009-04-27 13:01:52
354713,46,62eab48fa7445903c70e715f92afae11,4,656214067,,,2009-04-27 13:01:53
354788,46,a8458f7d0ad067d7d959cd79e41ee5e9,2,548624386,,,2009-04-27 13:02:05
359066,23,bc49a0c993f707784537b017bb9ac9ee,5,1748818178,,,2009-04-27 13:15:43
359073,23,b27ae94b54bf46d64728efe2c0af344c,3,714714276,,,2009-04-27 13:15:44
359280,47,0ce47d725f11d4b480967a2ddf95f595,1,1993914411,,,2009-04-27 13:16:24
359323,23,e6a668879e7e5484b8ad4e32309758e7,2,1191363299,,,2009-04-27 13:16:31
359349,47,3265c9546fa5c3f8764b90c601c03af9,2,620739816,,,2009-04-27 13:16:36
359355,47,7f6d242fd467079888396361e2bd7964,2,407768460,,,2009-04-27 13:16:37
359404,47,993ee0f4de7f1a26d902dea3b72e84b5,3,1831504649,,,2009-04-27 13:16:45
359437,47,f26286d7b8da5ebad9034ec9413fa2ff,3,349308543,,,2009-04-27 13:16:50
359444,23,7ab6e3306c3a25f26be205543e5aea32,7,343674559,,,2009-04-27 13:16:52
359471,47,edcd9a7a05ce05fff03d6f5502f5b68a,1,215170044,,,2009-04-27 13:16:55
359481,23,e62855a581328143d7b987e66751f1dc,5,1688739829,,,2009-04-27 13:16:56
363071,50,388b2b07fb722bbe346e4c561f9979ca,3,872238192,,,2009-04-27 13:31:25
363232,50,960d2c95dfad79f745e1af3503760553,6,2125324569,,,2009-04-27 13:31:57
363349,50,ab1fa343461f729d684b63f2db7906a3,3,83908969,,,2009-04-27 13:32:20
363684,50,41bc1bf640f278822fb410e47bd26891,1,73054573,,,2009-04-27 13:33:24
367003,37,bc49a0c993f707784537b017bb9ac9ee,5,579983279,,,2009-04-27 13:45:35
370697,3,8804222958e629f1aaa4d7aaf2952f93,5,121660300,,,2009-04-27 14:00:44
370769,28,9e3892b8e7f737ad7612a6af99127565,3,780799126,,,2009-04-27 14:01:07
370841,18,d11ee22be3f2ffea7b2a1ca3cea9a307,3,1460591336,,,2009-04-27 14:01:25
370854,28,575333caf62f5869cf2af5acd487cebe,4,1776057247,,,2009-04-27 14:01:28
