id,image_uri,geograph_uri,type,title,description,subject,creator,creator_uri,date_submitted,lat,lon,gridsquare,license_uri,format,votes,rand,width,height,aspect
1,http://www.geograph.org.uk/geophotos/00/00/00/000007_ce524193.jpg,http://www.geograph.org.uk/photo/7,representative,Minchinhampton Common,,Common,Helena Downton,http://www.geograph.org.uk/profile/5,28/04/2009 08:53,51.7026,-2.20985,SO8500,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.4488,640,480,1.33
2,http://www.geograph.org.uk/geophotos/00/00/00/000008_e11bb647.jpg,http://www.geograph.org.uk/photo/8,representative,The Footpath near Cuckoo Row,,Footpath,Helena Downton,http://www.geograph.org.uk/profile/5,28/04/2009 06:30,51.7026,-2.19538,SO8600,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.921136,639,481,1.33
3,http://www.geograph.org.uk/geophotos/00/00/00/000011_deb640a8.jpg,http://www.geograph.org.uk/photo/11,representative,"The Park, Minchinhampton",,Parkland,Helena Downton,http://www.geograph.org.uk/profile/5,28/04/2009 06:30,51.7116,-2.18094,SO8701,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.259277,640,480,1.33
4,http://www.geograph.org.uk/geophotos/00/00/00/000020_782fd0d8.jpg,http://www.geograph.org.uk/photo/20,representative,The muddy fields of Antrobus,,Farmland,Paul Baxter,http://www.geograph.org.uk/profile/6,28/04/2009 06:30,53.311,-2.51786,SJ6579,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.53298,640,480,1.33
5,http://www.geograph.org.uk/geophotos/00/00/00/000022_dace5928.jpg,http://www.geograph.org.uk/photo/22,representative,Budworth Heath,,Road,Paul Baxter,http://www.geograph.org.uk/profile/6,28/04/2009 06:30,53.3021,-2.50274,SJ6678,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.88707,640,480,1.33
6,http://www.geograph.org.uk/geophotos/00/00/00/000030_9cb04096.jpg,http://www.geograph.org.uk/photo/30,representative,Steeply folded rock strata,"Cliff scenery from the Marine Drive, south of Douglas, IOM.",Coastline/Beaches,Andy Stephenson,http://www.geograph.org.uk/profile/11,28/04/2009 06:30,54.1311,-4.50266,SC3673,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.836407,427,640,0.67
7,http://www.geograph.org.uk/geophotos/00/00/00/000031_544c0cc1.jpg,http://www.geograph.org.uk/photo/31,representative,Pulrose Power Station,"The new gas power station. Douglas, IOM. Feb 2005.",Power station,Andy Stephenson,http://www.geograph.org.uk/profile/11,28/04/2009 06:30,54.1491,-4.50374,SC3675,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.520828,515,640,0.8
8,http://www.geograph.org.uk/geophotos/00/00/00/000035_5911dd65.jpg,http://www.geograph.org.uk/photo/35,representative,"Clagh Ouyr, IOM","Looking NE from an altitude of about 470m,  along the North Barrule ridge. Ramsey on left.",Moorland,Andy Stephenson,http://www.geograph.org.uk/profile/11,28/04/2009 06:30,54.2764,-4.43464,SC4189,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.0949161,640,316,2.03
9,http://www.geograph.org.uk/geophotos/00/00/00/000036_1fc415fa.jpg,http://www.geograph.org.uk/photo/36,representative,"North Barrule, IOM.","From point 550m on the ridge, looking ENE.",Hill,Andy Stephenson,http://www.geograph.org.uk/profile/11,27/04/2009 10:40,54.2857,-4.41982,SC4290,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,4,1,640,427,1.5
10,http://www.geograph.org.uk/geophotos/00/00/00/000038_2f1fbb61.jpg,http://www.geograph.org.uk/photo/38,representative,North Barrule summit pyramid: IOM.,Looking across the saddle from point 533m. Feb 2005. Lake District fells visible in background.,Summit,Andy Stephenson,http://www.geograph.org.uk/profile/11,28/04/2009 06:30,54.286,-4.40447,SC4390,http://creativecommons.org/licenses/by-sa/2.0/,image/jpeg,0,0.912098,640,408,1.57
